COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
11.6	4.89E-11
11.8	4.89E-11
12	4.94E-11
12.2	4.91E-11
12.4	4.95E-11
12.6	4.97E-11
12.8	5.07E-11
13	5.03E-11
13.2	5.10E-11
13.4	5.08E-11
13.6	5.18E-11
13.8	5.16E-11
14	5.23E-11
14.2	5.20E-11
14.4	5.33E-11
14.6	5.31E-11
14.8	5.30E-11
15	5.30E-11
15.2	5.39E-11
15.4	5.39E-11
15.6	5.46E-11
15.8	5.46E-11
16	5.59E-11
16.2	5.54E-11
16.4	5.50E-11
16.6	5.57E-11
16.8	5.66E-11
17	5.63E-11
17.2	5.68E-11
17.4	5.66E-11
17.6	5.80E-11
17.8	5.73E-11
18	5.86E-11
18.2	5.83E-11
18.4	5.87E-11
18.6	5.89E-11
18.8	6.00E-11
19	5.97E-11
19.2	6.04E-11
19.4	6.01E-11
19.6	6.09E-11
19.8	6.08E-11
20	6.19E-11
20	5.67E-11
19.8	4.31E-11
19.6	3.54E-11
19.4	3.00E-11
19.2	2.41E-11
19	2.10E-11
18.8	1.78E-11
18.6	1.47E-11
18.4	1.17E-11
18.2	1.01E-11
18	7.35E-12
17.8	6.57E-12
17.6	3.96E-12
17.4	3.31E-12
17.2	2.80E-13
17	-4.00E-14
16.8	-1.81E-12
16.6	-2.61E-12
16.4	-3.87E-12
16.2	-4.70E-12
16	-6.24E-12
15.8	-6.54E-12
15.6	-8.10E-12
15.4	-8.45E-12
15.2	-9.74E-12
15	-9.84E-12
14.8	-1.11E-11
14.6	-1.15E-11
14.4	-1.26E-11
14.2	-1.26E-11
14	-1.40E-11
13.8	-1.41E-11
13.6	-1.51E-11
13.4	-1.52E-11
13.2	-1.62E-11
13	-1.60E-11
12.8	-1.71E-11
12.6	-1.70E-11
12.4	-1.78E-11
12.2	-1.79E-11
12	-1.90E-11
11.8	-1.87E-11
11.6	-1.98E-11
11.4	-1.99E-11
11.2	-2.08E-11
11	-2.04E-11
10.8	-2.11E-11
10.6	-2.12E-11
10.4	-2.16E-11
10.2	-2.17E-11
10	-2.16E-11
9.8	-2.18E-11
9.6	-2.31E-11
9.4	-2.28E-11
9.2	-2.40E-11
9	-2.36E-11
8.8	-2.49E-11
8.6	-2.43E-11
8.4	-2.54E-11
8.2	-2.48E-11
8	-2.56E-11
7.8	-2.54E-11
7.6	-2.63E-11
7.4	-2.60E-11
7.2	-2.67E-11
7	-2.63E-11
6.8	-2.75E-11
6.6	-2.69E-11
6.4	-2.80E-11
6.2	-2.76E-11
6	-2.99E-11
5.8	-2.86E-11
5.6	-4.10E-11
5.4	-4.47E-11
5.2	-4.75E-11
5	-4.99E-11
4.8	-5.07E-11
4.6	-5.27E-11
4.4	-5.36E-11
4.2	-5.47E-11
4	-5.59E-11
3.8	-5.65E-11
3.6	-5.72E-11
3.4	-5.83E-11
3.2	-5.86E-11
3	-5.99E-11
2.8	-6.00E-11
2.6	-6.07E-11
2.4	-6.18E-11
2.2	-6.21E-11
2	-6.27E-11
1.8	-6.39E-11
1.6	-6.39E-11
1.4	-6.48E-11
1.2	-6.52E-11
1	-6.60E-11
0.8	-6.71E-11
0.6	-6.71E-11
0.4	-6.80E-11
0.2	-6.89E-11
0	-6.92E-11
-0.2	-7.07E-11
-0.4	-7.10E-11
-0.6	-7.19E-11
-0.8	-7.27E-11
-1	-7.36E-11
-1.2	-7.45E-11
-1.4	-7.63E-11
-1.6	-7.73E-11
-1.8	-7.97E-11
-2	-8.15E-11
-2.2	-8.31E-11
-2.4	-8.50E-11
-2.6	-8.76E-11
-2.8	-9.08E-11
-3	-9.54E-11
-3.2	-9.73E-11
-3.4	-1.03E-10
-3.6	-1.06E-10
-3.8	-1.11E-10
-4	-1.17E-10
-4.2	-1.21E-10
-4.4	-1.27E-10
-4.6	-1.33E-10
-4.8	-1.37E-10
-5	-1.43E-10
-5.2	-1.39E-10
-5.4	-1.52E-10
-5.6	-1.59E-10
-5.8	-1.63E-10
-6	-1.68E-10
-6.2	-1.74E-10
-6.4	-1.78E-10
-6.6	-1.84E-10
-6.8	-1.88E-10
-7	-1.92E-10
-7.2	-1.98E-10
-7.4	-2.02E-10
-7.6	-2.07E-10
-7.8	-2.13E-10
-8	-2.17E-10
-8.2	-2.23E-10
-8.4	-2.28E-10
-8.6	-2.33E-10
-8.8	-2.38E-10
-9	-2.44E-10
-9.2	-2.50E-10
-9.4	-2.56E-10
-9.6	-2.61E-10
-9.8	-2.69E-10
-10	-2.74E-10
-10.2	-2.81E-10
-10.4	-2.89E-10
-10.6	-2.95E-10
-10.8	-3.02E-10
-11	-3.09E-10
-11.2	-3.17E-10
-11.4	-3.24E-10
-11.6	-3.32E-10
-11.8	-3.33E-10
-12	-3.42E-10
-12.2	-3.47E-10
-12.4	-3.60E-10
-12.6	-3.71E-10
-12.8	-3.61E-10
-13	-3.82E-10
-13.2	-3.95E-10
-13.4	-4.07E-10
-13.6	-4.17E-10
-13.8	-4.29E-10
-14	-4.39E-10
-14.2	-4.51E-10
-14.4	-4.62E-10
-14.6	-4.72E-10
-14.8	-4.84E-10
-15	-4.95E-10
